Date,Price,Open,High,Low,Vol.,Change %
30-06-2024,90.481,89.309,90.554,89.235,,1.32%
23-06-2024,89.298,89.346,89.659,89.112,,-0.06%
16-06-2024,89.352,89.3723,89.747,89.186,,-0.05%
09-06-2024,89.395,90.183,90.5815,89.114,,-0.90%
02-06-2024,90.203,90.553,91.0595,89.9995,,-0.26%
26-05-2024,90.44,90.1545,90.7435,89.9705,,0.40%
19-05-2024,90.079,90.5215,90.655,89.827,,-0.49%
12-05-2024,90.525,90.008,90.895,89.915,,0.62%
05-05-2024,89.965,89.735,90.1305,89.536,,0.30%
28-04-2024,89.696,89.202,90.1165,88.9135,,0.59%
21-04-2024,89.169,88.856,89.607,88.573,,0.40%
14-04-2024,88.81,88.888,89.3505,88.5135,,-0.10%
07-04-2024,88.903,90.3445,90.5645,88.763,,-1.49%
31-03-2024,90.248,89.934,90.7195,89.381,,0.34%
24-03-2024,89.943,90.341,90.506,89.76,,-0.41%
17-03-2024,90.31,90.29,90.9615,89.9555,,0.08%
10-03-2024,90.235,90.555,90.8285,90.1275,,-0.27%
03-03-2024,90.482,89.826,90.7925,89.7925,,0.79%
25-02-2024,89.775,89.733,90.077,89.4765,,0.15%
18-02-2024,89.637,89.4645,90.2565,89.3135,,0.22%
11-02-2024,89.438,89.488,89.6905,88.803,,-0.06%
04-02-2024,89.491,89.512,89.6275,89.0495,,-0.02%
28-01-2024,89.506,90.1645,90.4035,89.4405,,-0.77%
21-01-2024,90.196,90.507,90.832,89.897,,-0.38%
14-01-2024,90.539,90.771,90.885,90.1935,,-0.20%
07-01-2024,90.72,90.9965,91.2805,90.6595,,-0.22%
31-12-2023,90.923,91.872,92.011,90.498,,-0.96%
24-12-2023,91.808,91.652,92.665,91.4565,,0.26%
17-12-2023,91.566,90.522,91.792,90.419,,1.24%
10-12-2023,90.442,89.787,91.6865,89.5565,,0.74%
03-12-2023,89.774,90.651,90.7275,89.483,,-0.92%
26-11-2023,90.604,91.1545,91.8295,90.2135,,-0.62%
19-11-2023,91.166,90.85,91.408,90.422,,0.41%
